,CustomerID,TotalSpend,TransactionCount,RecencyDays,Cluster
175,C0176,2331.32,3,203,2
176,C0177,2509.81,4,84,1
177,C0178,2708.83,4,37,1
178,C0179,3652.83,6,109,3
179,C0181,3347.6000000000004,6,31,3
180,C0182,4980.7699999999995,5,263,3
181,C0183,3850.2200000000003,5,75,3
182,C0184,3393.1800000000003,7,141,3
183,C0185,3424.3199999999997,3,160,1
184,C0186,1761.6399999999999,3,96,1
185,C0187,4612.44,5,107,3
186,C0188,7111.320000000001,8,32,0
187,C0189,2643.21,5,37,1
188,C0190,2983.02,5,42,1
189,C0191,2997.9700000000003,5,46,1
190,C0192,2072.7200000000003,4,181,1
191,C0193,3009.2900000000004,4,245,2
192,C0194,3869.17,7,97,3
193,C0195,4036.27,6,64,3
194,C0196,4982.88,4,43,3
195,C0197,1928.65,3,30,1
196,C0198,931.83,2,114,1
197,C0199,1979.28,4,93,1
198,C0200,4758.6,5,47,3
